iter	Passed	Remaining
0	138	138042
1	139	69365
2	139	46478
3	141	35114
4	142	28332
5	143	23746
6	144	20482
7	145	18015
8	146	16094
9	147	14589
10	148	13352
11	149	12304
12	150	11413
13	151	10647
14	151	9980
15	152	9393
16	155	9004
17	156	8545
18	157	8126
19	158	7749
20	158	7411
21	159	7106
22	160	6827
23	161	6574
24	162	6333
25	163	6110
26	163	5902
27	164	5714
28	165	5540
29	166	5384
30	167	5232
31	168	5084
32	168	4946
33	169	4819
34	170	4696
35	171	4581
36	171	4474
37	172	4377
38	173	4283
39	174	4192
40	175	4109
41	176	4024
42	177	3945
43	178	3869
44	179	3801
45	180	3747
46	181	3681
47	182	3617
48	183	3553
49	183	3493
50	184	3437
51	186	3396
52	187	3345
53	188	3294
54	188	3244
55	189	3195
56	190	3148
57	191	3103
58	192	3062
59	192	3019
60	193	2978
61	194	2938
62	195	2901
63	195	2863
64	196	2826
65	197	2792
66	198	2764
67	199	2731
68	199	2698
69	200	2669
70	201	2638
71	202	2609
72	203	2582
73	205	2568
74	206	2540
75	206	2513
76	207	2489
77	208	2465
78	209	2441
79	210	2424
80	212	2406
81	212	2383
82	213	2356
83	214	2334
84	214	2313
85	215	2292
86	217	2278
87	218	2260
88	218	2241
89	219	2221
90	220	2202
91	221	2184
92	222	2167
93	223	2153
94	224	2136
95	225	2119
96	225	2103
97	226	2086
98	227	2068
99	228	2052
100	228	2036
101	229	2020
102	230	2009
103	231	1994
104	232	1978
105	232	1963
106	233	1949
107	234	1936
108	236	1930
109	237	1917
110	237	1905
111	238	1891
112	239	1878
113	240	1865
114	240	1852
115	241	1843
116	242	1830
117	243	1818
118	244	1806
119	244	1794
120	245	1783
121	246	1771
122	246	1760
123	248	1752
124	249	1743
125	249	1733
126	250	1722
127	251	1712
128	252	1703
129	253	1694
130	254	1686
131	255	1680
132	256	1672
133	257	1664
134	258	1657
135	259	1648
136	260	1643
137	261	1636
138	262	1627
139	263	1619
140	264	1611
141	265	1601
142	265	1594
143	267	1588
144	268	1582
145	269	1573
146	269	1566
147	270	1557
148	271	1549
149	272	1542
150	273	1539
151	275	1534
152	275	1527
153	276	1521
154	277	1514
155	278	1508
156	280	1504
157	281	1499
158	282	1492
159	282	1485
160	283	1476
161	284	1469
162	284	1462
163	285	1457
164	286	1451
165	287	1444
166	288	1437
167	288	1431
168	289	1424
169	290	1418
170	291	1414
171	292	1408
172	293	1402
173	294	1396
174	294	1390
175	295	1383
176	296	1377
177	297	1371
178	298	1368
179	299	1363
180	300	1358
181	300	1352
182	301	1346
183	302	1340
184	302	1334
185	303	1328
186	304	1323
187	305	1318
188	306	1313
189	306	1307
190	307	1302
191	308	1297
192	309	1292
193	309	1287
194	310	1282
195	311	1277
196	312	1272
197	313	1267
198	313	1262
199	314	1257
200	315	1253
201	315	1248
202	316	1244
203	317	1240
204	318	1235
205	319	1230
206	319	1225
207	320	1221
208	321	1216
209	322	1211
210	322	1207
211	324	1204
212	325	1201
213	325	1196
214	326	1192
215	327	1188
216	328	1183
217	328	1179
218	329	1176
219	330	1172
220	331	1168
221	332	1164
222	332	1159
223	333	1155
224	334	1151
225	335	1147
226	335	1143
227	336	1140
228	337	1136
229	338	1132
230	338	1128
231	339	1124
232	340	1120
233	341	1116
234	341	1112
235	342	1109
236	343	1106
237	344	1102
238	344	1098
239	345	1094
240	346	1090
241	346	1086
242	347	1082
243	348	1080
244	349	1077
245	350	1074
246	351	1070
247	352	1067
248	353	1064
249	353	1061
250	355	1059
251	355	1056
252	356	1053
253	357	1049
254	358	1045
255	358	1042
256	359	1038
257	359	1035
258	360	1032
259	361	1030
260	362	1026
261	363	1023
262	364	1020
263	364	1017
264	365	1013
265	366	1010
266	367	1007
267	367	1005
268	368	1002
269	369	998
270	370	995
271	370	992
272	371	989
273	372	986
274	373	984
275	374	982
276	375	979
277	376	977
278	376	974
279	377	971
280	378	968
281	379	965
282	380	962
283	380	960
284	381	957
285	382	954
286	382	951
287	383	948
288	384	945
289	385	942
290	385	940
291	386	937
292	387	935
293	388	932
294	389	929
295	389	926
296	390	924
297	391	921
